City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,San Patricio,US,28.017,-97.5169,80.85,90,56,13.65,broken clouds
1,Broome,US,42.2506,-75.833,51.17,82,94,1.01,overcast clouds
2,Hella,NO,67.2,14.4333,43.88,81,40,12.66,scattered clouds
3,Ponta Do Sol,PT,32.6667,-17.1,65.03,77,20,3.2,few clouds
4,Talnakh,RU,69.4865,88.3972,27.86,71,100,1.95,overcast clouds
5,Hithadhoo,MV,-0.6,73.0833,81.84,79,100,18.99,overcast clouds
6,Beringovskiy,RU,63.05,179.3167,32.95,96,100,6.17,overcast clouds
7,Buloh Kasap,MY,2.5536,102.764,84.11,68,72,2.89,broken clouds
8,Hirara,JP,24.8,125.2833,88.07,79,75,23.02,broken clouds
9,Bubaque,GW,11.2833,-15.8333,77.56,79,14,8.57,few clouds
10,Tuktoyaktuk,CA,69.4541,-133.0374,28.4,86,90,12.66,overcast clouds
11,Butaritari,KI,3.0707,172.7902,83.66,78,65,15.23,light rain
12,Bluff,NZ,-46.6,168.3333,49.8,81,100,6.67,light rain
13,Kapaa,US,22.0752,-159.319,80.11,69,49,3.0,scattered clouds
14,Cidreira,BR,-30.1811,-50.2056,61.21,79,1,11.48,clear sky
15,Provideniya,RU,64.3833,-173.3,46.51,61,0,22.37,clear sky
16,Qaanaaq,GL,77.484,-69.3632,39.4,75,85,9.24,overcast clouds
17,Rikitea,PF,-23.1203,-134.9692,71.11,58,28,4.29,scattered clouds
18,Hobart,AU,-42.8794,147.3294,50.25,60,75,4.0,broken clouds
19,Baculin,PH,7.4525,126.5842,85.48,73,27,3.85,scattered clouds
20,Touros,BR,-5.1989,-35.4608,74.3,88,16,11.7,few clouds
21,Luderitz,NA,-26.6481,15.1594,57.0,73,3,9.71,clear sky
22,Khatanga,RU,71.9667,102.5,32.25,90,93,12.21,overcast clouds
23,Tuatapere,NZ,-46.1333,167.6833,49.82,85,100,3.96,overcast clouds
24,Cuaspud,CO,0.8628,-77.7263,45.63,94,69,3.11,broken clouds
25,Punta Arenas,CL,-53.15,-70.9167,33.82,74,0,15.93,light snow
26,Thompson,CA,55.7435,-97.8558,50.16,27,75,10.36,broken clouds
27,Castro,BR,-24.7911,-50.0119,58.28,87,59,2.84,broken clouds
28,Isangel,VU,-19.55,169.2667,75.81,51,100,3.06,overcast clouds
29,Vaini,TO,-21.2,-175.2,77.16,73,20,8.34,few clouds
30,Jamestown,US,42.097,-79.2353,55.04,70,1,1.01,clear sky
31,Kaitangata,NZ,-46.2817,169.8464,45.66,93,100,3.44,overcast clouds
32,Albany,US,42.6001,-73.9662,55.98,64,99,5.1,overcast clouds
33,Constitucion,CL,-35.3333,-72.4167,56.73,97,100,5.97,overcast clouds
