City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ust-Uda,RU,2021-06-04 19:15:51,54.1742,103.0304,59.9,74,100,3.8
1,Mar Del Plata,AR,2021-06-04 19:15:44,-38.0023,-57.5575,62.1,67,0,1.99
2,Butaritari,KI,2021-06-04 19:15:51,3.0707,172.7902,82.44,67,83,3.11
3,Mataura,NZ,2021-06-04 19:15:52,-46.1927,168.8643,49.48,91,100,5.21
4,Boddam,GB,2021-06-04 19:15:52,57.4667,-1.7833,62.44,82,93,14.03
5,Hithadhoo,MV,2021-06-04 19:15:52,-0.6,73.0833,81.79,78,100,14.85
6,Naze,JP,2021-06-04 19:15:53,28.3667,129.4833,72.23,92,100,4.16
7,Borogontsy,RU,2021-06-04 19:15:53,62.6683,131.1683,57.33,60,58,5.68
8,Pisco,PE,2021-06-04 19:14:43,-13.7,-76.2167,66.25,68,0,12.66
9,Hobyo,SO,2021-06-04 19:15:53,5.3505,48.5268,78.89,86,8,23.42
10,Hobart,AU,2021-06-04 19:15:40,-42.8794,147.3294,44.06,77,100,5.01
11,Labuhan,ID,2021-06-04 19:15:54,-6.8844,112.2051,78.42,88,7,6.87
12,Plainview,US,2021-06-04 19:15:54,40.7765,-73.4673,81.48,83,1,8.05
13,Bredasdorp,ZA,2021-06-04 19:15:54,-34.5322,20.0403,45.72,93,12,4.52
14,Rovaniemi,FI,2021-06-04 19:15:55,66.5,25.7167,67.41,42,0,12.66
15,Makakilo City,US,2021-06-04 19:13:42,21.3469,-158.0858,79.12,67,40,10.36
16,Bluff,NZ,2021-06-04 19:15:55,-46.6,168.3333,49.8,80,100,14.94
17,Tiksi,RU,2021-06-04 19:15:55,71.6872,128.8694,39.88,95,100,7.45
18,Kahului,US,2021-06-04 19:15:37,20.8947,-156.47,82.98,61,40,19.57
19,Padang,ID,2021-06-04 19:15:56,-0.9492,100.3543,75.9,92,99,3.06
20,Georgetown,MY,2021-06-04 19:15:10,5.4112,100.3354,82.89,79,40,5.84
